키워드,PC검색량,모바일검색량,총검색량,문서수,비율
불안장애,3880,29800,33680,144718,4.296852732
하지불안증후군,3100,29100,32200,76975,2.39052795
불안장애 증상,1780,21500,23280,81908,3.51838488
불안,2860,5740,8600,9150607,1064.02407
분리불안,1190,6440,7630,433013,56.75137615
강아지 분리불안,640,6910,7550,59600,7.894039735
마음이 불안할때,540,6170,6710,1220157,181.8415797
불안장애 테스트,540,5770,6310,5169,0.819175911
불안장애 극복,570,5210,5780,24833,4.296366782
불안증,580,3650,4230,115638,27.33758865
에어팟 불 안들어옴,120,2090,2210,377,0.170588235
불안감,790,1310,2100,1805538,859.78
불안 간호진단,610,420,1030,1207,1.17184466
불안나화로,140,650,790,59425,75.22151899
불안 간호과정,520,260,780,949,1.216666667
불안감조성,80,540,620,88642,142.9709677
불안감조성죄,90,480,570,54,0.094736842
빨간불 안돼요,30,490,520,20797,39.99423077
불안돈목,50,300,350,170,0.485714286
불안발작,30,250,280,79209,282.8892857
불안감 버리기 연습,20,160,180,3665,20.36111111
불안 다루기,0,10,10,38735,3873.5
불안 버리기,0,10,10,127465,12746.5
불안들,0,10,10,9150607,915060.7
불안등급,0,0,0,210984,100
불안문학,0,0,0,185896,100
시험불안모형,0,0,0,8627,100
불안법,0,0,0,29,100
불안불모,0,0,0,3964,100
